date,accx,accy,accz
12/9/2020 1:20:14.113000000 PM,0.071777,0.01123,0.997314
12/9/2020 1:20:14.120000000 PM,0.07251,0.012451,0.999512
12/9/2020 1:20:14.132000000 PM,0.071045,0.008301,0.996338
12/9/2020 1:20:14.142000000 PM,0.068115,0.013916,0.996582
12/9/2020 1:20:14.154000000 PM,0.071533,0.006592,1.005127
12/9/2020 1:20:14.166000000 PM,0.067627,0.014404,0.999023
12/9/2020 1:20:14.176000000 PM,0.071533,0.008789,0.999756
12/9/2020 1:20:14.189000000 PM,0.070801,0.010498,1.001953
12/9/2020 1:20:14.199000000 PM,0.070801,0.011475,1.001953
12/9/2020 1:20:14.214000000 PM,0.075195,0.009521,0.999023
12/9/2020 1:20:14.222000000 PM,0.06958,0.01001,0.996582
12/9/2020 1:20:14.232000000 PM,0.067871,0.01123,1.003906
12/9/2020 1:20:14.243000000 PM,0.070557,0.009521,0.999268
12/9/2020 1:20:14.250000000 PM,0.069824,0.010498,1.00708
12/9/2020 1:20:14.267000000 PM,0.069336,0.006348,1.003906
12/9/2020 1:20:14.279000000 PM,0.068848,0.008545,1.005127
12/9/2020 1:20:14.295000000 PM,0.070312,0.01123,1.008789
12/9/2020 1:20:14.303000000 PM,0.071045,0.009521,1.003662
12/9/2020 1:20:14.316000000 PM,0.06958,0.008301,1.005615
12/9/2020 1:20:14.326000000 PM,0.071045,0.01123,0.993896
12/9/2020 1:20:14.342000000 PM,0.069336,0.006836,1.011475
12/9/2020 1:20:14.352000000 PM,0.068604,0.010498,1.005615
12/9/2020 1:20:14.361000000 PM,0.07251,0.006104,1.001221
12/9/2020 1:20:14.376000000 PM,0.07251,0.01001,1.001709
12/9/2020 1:20:14.384000000 PM,0.066895,0.009766,0.997559
12/9/2020 1:20:14.395000000 PM,0.073242,0.006348,1.000244
12/9/2020 1:20:14.406000000 PM,0.071045,0.009277,0.999268
12/9/2020 1:20:14.416000000 PM,0.07251,0.009766,1.001953
12/9/2020 1:20:14.427000000 PM,0.067139,0.005859,1.001465
12/9/2020 1:20:14.437000000 PM,0.070068,0.01001,0.997314
12/9/2020 1:20:14.447000000 PM,0.070801,0.011475,1.00415
12/9/2020 1:20:14.458000000 PM,0.069824,0.011475,0.999512
12/9/2020 1:20:14.470000000 PM,0.07251,0.010254,1.002441
12/9/2020 1:20:14.480000000 PM,0.069336,0.011719,1.00415
12/9/2020 1:20:14.490000000 PM,0.07251,0.010498,1.001465
12/9/2020 1:20:14.502000000 PM,0.069336,0.010986,1.003418
12/9/2020 1:20:14.515000000 PM,0.066406,0.01709,1.006348
12/9/2020 1:20:14.525000000 PM,0.06958,0.009277,1.005859
12/9/2020 1:20:14.537000000 PM,0.067139,0.010742,1.000244
12/9/2020 1:20:14.547000000 PM,0.067871,0.009766,1.007568
12/9/2020 1:20:14.560000000 PM,0.065674,0.010498,1.007568
12/9/2020 1:20:14.572000000 PM,0.07373,0.008789,1.005127
12/9/2020 1:20:14.583000000 PM,0.068848,0.010742,0.998291
12/9/2020 1:20:14.593000000 PM,0.070801,0.012695,1.007568
12/9/2020 1:20:14.603000000 PM,0.070557,0.01123,1.001465
12/9/2020 1:20:14.615000000 PM,0.06958,0.015137,0.998535
12/9/2020 1:20:14.625000000 PM,0.073242,0.010742,1.001709
12/9/2020 1:20:14.640000000 PM,0.07251,0.012207,1.005371
12/9/2020 1:20:14.647000000 PM,0.072266,0.010742,1.003906
12/9/2020 1:20:14.661000000 PM,0.068848,0.010254,0.995117
12/9/2020 1:20:14.673000000 PM,0.068359,0.012695,0.996338
12/9/2020 1:20:14.684000000 PM,0.068604,0.009766,1.004639
12/9/2020 1:20:14.694000000 PM,0.068604,0.008057,0.998291
12/9/2020 1:20:14.701000000 PM,0.07666,0.011719,0.998535
12/9/2020 1:20:14.707000000 PM,0.064941,0.007324,1
12/9/2020 1:20:14.714000000 PM,0.070557,0.009277,1.003418
12/9/2020 1:20:14.730000000 PM,0.073486,0.009521,1.001465
12/9/2020 1:20:14.740000000 PM,0.068604,0.012695,1
12/9/2020 1:20:14.766000000 PM,0.070312,0.011719,0.995117
12/9/2020 1:20:14.774000000 PM,0.067139,0.01416,0.997314
12/9/2020 1:20:14.786000000 PM,0.070068,0.013916,1.001465
12/9/2020 1:20:14.796000000 PM,0.070801,0.010498,0.997559
12/9/2020 1:20:14.807000000 PM,0.068848,0.012695,0.998779
12/9/2020 1:20:14.819000000 PM,0.068115,0.013184,1.002197
12/9/2020 1:20:14.830000000 PM,0.068115,0.01001,0.995117
12/9/2020 1:20:14.842000000 PM,0.069336,0.012939,1.005859
12/9/2020 1:20:14.852000000 PM,0.071777,0.013916,0.99707
12/9/2020 1:20:14.864000000 PM,0.068359,0.010498,1.004395
12/9/2020 1:20:14.873000000 PM,0.06958,0.009521,1.004639
12/9/2020 1:20:14.883000000 PM,0.072021,0.01123,0.999268
12/9/2020 1:20:14.893000000 PM,0.071289,0.009766,0.998047
12/9/2020 1:20:14.908000000 PM,0.071045,0.011719,0.997559
12/9/2020 1:20:14.916000000 PM,0.070557,0.013916,1.000244
12/9/2020 1:20:14.929000000 PM,0.066162,0.012451,1
12/9/2020 1:20:14.939000000 PM,0.071045,0.010742,0.998779
12/9/2020 1:20:14.954000000 PM,0.073242,0.011475,0.997559
12/9/2020 1:20:14.962000000 PM,0.070801,0.01416,0.998291
12/9/2020 1:20:14.973000000 PM,0.070068,0.00708,1.000244
12/9/2020 1:20:14.988000000 PM,0.072998,0.008057,1.005371
12/9/2020 1:20:14.996000000 PM,0.071777,0.010498,1.003662
12/9/2020 1:20:15.006000000 PM,0.072266,0.008545,0.999023
12/9/2020 1:20:15.022000000 PM,0.069092,0.012207,1.00293
12/9/2020 1:20:15.030000000 PM,0.070312,0.012939,1.000488
12/9/2020 1:20:15.041000000 PM,0.072754,0.011963,1.005859
12/9/2020 1:20:15.051000000 PM,0.07251,0.015381,1.000977
12/9/2020 1:20:15.068000000 PM,0.069336,0.011475,1.003662
12/9/2020 1:20:15.076000000 PM,0.074219,0.007812,1.000244
12/9/2020 1:20:15.087000000 PM,0.069336,0.012451,1.001221
12/9/2020 1:20:15.097000000 PM,0.070557,0.010498,1.004395
12/9/2020 1:20:15.107000000 PM,0.068115,0.012695,1.000732
12/9/2020 1:20:15.117000000 PM,0.066162,0.009766,0.996826
12/9/2020 1:20:15.129000000 PM,0.068604,0.010498,0.997803
12/9/2020 1:20:15.139000000 PM,0.069092,0.014404,1.001221
12/9/2020 1:20:15.149000000 PM,0.068848,0.012207,1.003418
